Max_gas,Average_Gas,temperature,humidity,R,G,B,day
0.2,0.0,25.5,60.3,119.1,125.9,54.9,1
0.2,0.0,25.8,61.7,118.9,125.2,55.1,1
0.2,0.0,27.0,46.1,118.0,136.7,53.6,1
0.3,0.1,26.3,51.6,126.1,132.9,58.4,1
0.3,0.1,26.0,53.6,126.8,125.8,63.1,1
0.3,0.1,27.0,56.0,122.7,119.5,61.0,1
0.3,0.1,24.6,59.5,126.7,125.5,67.8,1
0.3,0.2,26.7,57.9,131.6,129.5,71.7,1
0.3,0.2,25.5,57.9,131.1,134.6,75.2,1
0.3,0.2,25.9,60.9,131.8,133.8,73.6,1
0.6,0.2,27.0,58.2,131.5,128.1,52.7,2
0.6,0.2,27.2,50.9,141.0,135.0,52.8,2
0.6,0.2,29.2,49.9,137.5,128.7,56.8,2
0.7,0.2,27.9,51.3,130.4,125.2,52.0,2
1.0,0.4,27.4,53.4,133.0,135.8,62.1,2
1.1,0.6,27.8,48.2,134.7,135.6,64.7,2
1.3,0.7,27.6,57.5,139.0,130.5,63.4,2
1.5,0.7,28.8,55.3,137.8,136.5,72.0,2
1.3,0.6,26.6,50.9,145.6,130.2,70.0,2
1.4,0.8,27.5,57.4,135.6,127.7,65.7,2
1.6,0.6,25.5,42.5,139.1,128.1,53.4,3
1.3,0.6,26.2,40.4,132.7,132.7,52.9,3
1.6,0.5,25.6,43.4,125.8,126.1,52.2,3
1.7,0.6,25.7,39.5,145.3,123.5,49.3,3
1.6,0.7,26.5,45.8,141.2,123.2,49.6,3
1.8,0.8,25.3,43.8,134.8,127.5,56.5,3
2.4,1.2,25.0,43.5,149.3,132.1,57.2,3
3.5,1.7,27.0,47.5,151.5,128.9,61.8,3
2.8,1.7,26.7,45.1,138.3,136.4,64.4,3
3.4,1.5,24.9,36.0,143.2,129.8,61.2,3
14.4,7.2,27.3,45.8,85.0,70.0,22.0,4
14.8,6.8,27.1,43.4,83.0,68.3,19.7,4
14.8,7.6,26.6,46.9,82.0,68.7,25.2,4
28.4,16.1,27.1,47.5,110.9,90.8,35.3,4
35.5,16.4,26.1,47.7,119.5,101.5,33.9,4
27.4,16.6,25.9,45.9,111.6,100.3,37.9,4
34.3,16.2,27.2,44.6,124.0,93.4,35.1,4
40.7,24.4,26.6,43.7,135.0,112.2,42.2,4
42.2,25.6,25.6,48.1,131.9,121.0,43.2,4
46.9,21.7,27.9,48.4,124.1,111.5,44.9,4
55.7,15.7,26.4,45.9,95.0,75.0,30.7,5
51.2,15.1,25.6,43.9,97.4,73.9,29.3,5
53.2,15.1,26.5,47.3,102.9,76.8,29.8,5
60.4,19.2,27.4,47.9,98.4,73.2,33.2,5
59.5,20.3,25.8,41.6,95.7,72.0,31.9,5
50.9,22.6,26.4,46.7,91.4,68.5,33.4,5
52.3,25.3,27.0,47.4,88.7,66.7,38.2,5
59.7,23.7,24.6,43.8,92.5,65.3,36.4,5
58.1,23.4,26.4,43.2,86.3,66.1,37.7,5
56.7,26.3,25.2,48.0,92.9,63.3,34.9,5
